  PID TTY           TIME CMD
  244 ??         0:00.10 /System/Library/Frameworks/LocalAuthentication.framework/Support/coreauthd
  245 ??         4:34.69 /usr/sbin/cfprefsd agent
  248 ??         0:07.09 /usr/libexec/UserEventAgent (Aqua)
  250 ??         0:07.18 /usr/sbin/distnoted agent
  252 ??         0:04.45 /System/Library/CoreServices/talagent
  253 ??         0:41.36 /System/Library/CoreServices/Dock.app/Contents/MacOS/Dock
  254 ??         0:08.13 /System/Library/Frameworks/CoreTelephony.framework/Support/CommCenter -L
  255 ??         0:50.21 /System/Library/CoreServices/SystemUIServer.app/Contents/MacOS/SystemUIServer
  256 ??         2:55.39 /System/Library/CoreServices/Finder.app/Contents/MacOS/Finder
  257 ??         0:10.02 /usr/libexec/lsd
  258 ??         0:21.98 /usr/libexec/trustd --agent
  259 ??         0:06.08 /usr/libexec/secd
  262 ??         0:02.13 /usr/libexec/pboard
  263 ??         1:00.16 /System/Library/Frameworks/ApplicationServices.framework/Frameworks/ATS.framework/Support/fontd
  265 ??         0:04.02 /System/Library/CoreServices/sharedfilelistd
  267 ??         0:08.50 /usr/libexec/pkd
  270 ??         0:13.93 /System/Library/PrivateFrameworks/ViewBridge.framework/Versions/A/XPCServices/ViewBridgeAuxiliary.xpc/Contents/MacOS/ViewBridgeAuxiliary
  271 ??         0:02.70 /System/Library/PrivateFrameworks/TCC.framework/Resources/tccd
  275 ??         0:06.45 /System/Library/PrivateFrameworks/CloudKitDaemon.framework/Support/cloudd
  276 ??         0:03.24 /usr/libexec/secinitd
  277 ??         0:02.09 /usr/sbin/usernoted
  278 ??         0:02.03 /System/Library/PrivateFrameworks/UserActivity.framework/Agents/useractivityd
  279 ??         0:03.93 /System/Library/CoreServices/Dock.app/Contents/XPCServices/com.apple.dock.extra.xpc/Contents/MacOS/com.apple.dock.extra
  281 ??         0:28.99 /System/Library/CoreServices/iconservicesagent
  282 ??         0:01.27 /System/Library/PrivateFrameworks/CloudDocsDaemon.framework/Versions/A/Support/bird
  284 ??         0:05.35 /usr/libexec/nsurlsessiond
  285 ??         0:11.00 /usr/libexec/sharingd
  286 ??         0:13.65 /System/Library/CoreServices/NotificationCenter.app/Contents/MacOS/NotificationCenter
  287 ??         0:00.28 /System/Library/CoreServices/backgroundtaskmanagementagent
  288 ??         0:00.08 /System/Library/Frameworks/CryptoTokenKit.framework/ctkahp.bundle/Contents/MacOS/ctkahp
  291 ??         0:00.06 /System/Library/Frameworks/CryptoTokenKit.framework/ctkd -tw
  292 ??         0:23.06 /System/Library/Frameworks/Accounts.framework/Versions/A/Support/accountsd
  293 ??         0:00.09 /System/Library/PrivateFrameworks/CallHistory.framework/Support/CallHistoryPluginHelper
  294 ??         0:18.05 /System/Library/CoreServices/Spotlight.app/Contents/MacOS/Spotlight
  295 ??         0:55.47 /Applications/Right Click Booster.app/Contents/PlugIns/RightClickBoosterPlugin.appex/Contents/MacOS/RightClickBoosterPlugin
  296 ??         0:01.91 /System/Library/PrivateFrameworks/MessagesKit.framework/Resources/soagent.app/Contents/MacOS/soagent
  297 ??         0:00.09 /System/Library/Frameworks/Security.framework/Versions/A/Resources/CloudKeychainProxy.bundle/Contents/MacOS/CloudKeychainProxy
  299 ??         0:00.83 /usr/libexec/rapportd
  300 ??         0:06.26 /System/Library/PrivateFrameworks/CalendarAgent.framework/Executables/CalendarAgent
  301 ??         0:02.69 /System/Library/PrivateFrameworks/IDS.framework/identityservicesd.app/Contents/MacOS/identityservicesd
  303 ??         0:03.60 /System/Library/PrivateFrameworks/CoreParsec.framework/parsecd
  304 ??         0:02.90 /System/Library/PrivateFrameworks/TelephonyUtilities.framework/callservicesd
  307 ??         0:01.43 /System/Library/PrivateFrameworks/CoreWLANKit.framework/Versions/A/XPCServices/WiFiProxy.xpc/Contents/MacOS/WiFiProxy
  309 ??         0:01.35 /System/Library/PrivateFrameworks/CommerceKit.framework/Versions/A/Resources/commerce
  310 ??         0:02.65 /System/Library/PrivateFrameworks/GeoServices.framework/Versions/A/XPCServices/com.apple.geod.xpc/Contents/MacOS/com.apple.geod
  311 ??         0:00.10 /System/Library/PrivateFrameworks/CommerceKit.framework/Versions/A/Resources/storeaccountd
  313 ??         0:01.10 /System/Library/PrivateFrameworks/IMCore.framework/imagent.app/Contents/MacOS/imagent
  314 ??         0:03.16 /System/Library/PrivateFrameworks/CalendarNotification.framework/Versions/A/XPCServices/CalNCService.xpc/Contents/MacOS/CalNCService
  315 ??         0:00.43 /System/Library/Frameworks/ApplicationServices.framework/Versions/A/Frameworks/HIServices.framework/Versions/A/XPCServices/com.apple.hiservices-xpcservice.xpc/Contents/MacOS/com.apple.hiservices-xpcservice
  316 ??         0:00.26 /System/Library/PrivateFrameworks/IMDPersistence.framework/XPCServices/IMDPersistenceAgent.xpc/Contents/MacOS/IMDPersistenceAgent
  318 ??         0:02.75 /System/Library/Frameworks/AddressBook.framework/Executables/ContactsAccountsService
  320 ??         0:02.53 /System/Library/Frameworks/InputMethodKit.framework/Resources/imklaunchagent
  321 ??         0:03.39 /System/Library/PrivateFrameworks/FileProvider.framework/Support/fileproviderd
  323 ??         0:03.36 /usr/libexec/routined LAUNCHED_BY_LAUNCHD
  327 ??         0:07.65 /System/Library/Input Methods/PressAndHold.app/Contents/PlugIns/PAH_Extension.appex/Contents/MacOS/PAH_Extension
  328 ??         0:00.43 /usr/libexec/fmfd
  329 ??         0:01.57 /System/Library/CoreServices/pbs
  330 ??         0:00.30 /usr/libexec/networkserviceproxy
  337 ??         0:00.04 /System/Library/CoreServices/APFSUserAgent
  339 ??         0:54.05 /Applications/Right Click Booster.app/Contents/PlugIns/RightClickBoosterPlugin.appex/Contents/MacOS/RightClickBoosterPlugin
  340 ??         0:03.87 /System/Library/CoreServices/CoreLocationAgent.app/Contents/MacOS/CoreLocationAgent
  342 ??         0:03.21 /usr/libexec/nsurlstoraged
  343 ??         0:20.50 /System/Library/PrivateFrameworks/AssistantServices.framework/Versions/A/Support/assistantd
  344 ??         0:00.65 /System/Library/PrivateFrameworks/CloudDocsDaemon.framework/XPCServices/ContainerMetadataExtractor.xpc/Contents/MacOS/ContainerMetadataExtractor
  345 ??         0:04.05 /System/Library/CoreServices/WiFiAgent.app/Contents/MacOS/WiFiAgent
  346 ??         0:00.40 /System/Library/Frameworks/AudioToolbox.framework/AudioComponentRegistrar
  347 ??         0:00.12 /System/Library/PrivateFrameworks/AssistantServices.framework/Versions/A/XPCServices/media-indexer.xpc/Contents/MacOS/media-indexer
  348 ??         0:00.20 /System/Library/Frameworks/iTunesLibrary.framework/Versions/A/XPCServices/com.apple.iTunesLibraryService.xpc/Contents/MacOS/com.apple.iTunesLibraryService
  349 ??         0:00.17 /System/Library/PrivateFrameworks/FamilyCircle.framework/Versions/A/Resources/familycircled
  350 ??         0:00.44 /usr/libexec/swcd
  351 ??         0:00.02 /System/Library/Frameworks/AudioToolbox.framework/XPCServices/com.apple.audio.SandboxHelper.xpc/Contents/MacOS/com.apple.audio.SandboxHelper
  352 ??         0:01.70 /System/Library/PrivateFrameworks/AuthKit.framework/Versions/A/Support/akd
  353 ??         0:00.04 /System/Library/PrivateFrameworks/CoreSpeech.framework/corespeechd
  354 ??         0:03.22 /System/Library/Extensions/HornetDriver.kext/SgfxMain.agent/SgfxMain
  356 ??         0:00.16 /System/Library/CoreServices/SocialPushAgent.app/Contents/MacOS/SocialPushAgent
  358 ??         0:00.24 /usr/libexec/dmd
  359 ??         0:36.11 /System/Library/CoreServices/Siri.app/Contents/MacOS/Siri launchd
  360 ??         0:00.39 /System/Library/Image Capture/Support/icdd
  361 ??         0:19.79 /Library/Application Support/Malwarebytes/MBAM/Engine.bundle/Contents/PlugIns/FrontendAgent.app/Contents/MacOS/FrontendAgent
  364 ??         0:03.65 /System/Library/CoreServices/AirPlayUIAgent.app/Contents/MacOS/AirPlayUIAgent --launchd
  365 ??         0:00.57 /usr/libexec/knowledge-agent
  366 ??         0:00.87 /System/Library/CoreServices/cloudpaird
  367 ??         0:04.01 /System/Library/PrivateFrameworks/Noticeboard.framework/Versions/A/Resources/nbagent.app/Contents/MacOS/nbagent
  368 ??         0:03.06 /System/Library/CoreServices/diagnostics_agent
  369 ??         0:01.06 /usr/libexec/adprivacyd
  370 ??         0:26.77 /Library/PrivilegedHelperTools/DisplayLink/DisplayLinkUserAgent.app/Contents/MacOS/DisplayLinkUserAgent
  373 ??         0:00.02 SafeEjectGPUAgent
  374 ??         0:00.06 /System/Library/CoreServices/Menu Extras/SafeEjectGPUExtra.menu/Contents/XPCServices/SafeEjectGPUService.xpc/Contents/MacOS/SafeEjectGPUService
  375 ??         0:01.21 /usr/libexec/videosubscriptionsd
  382 ??         0:00.35 /System/Library/PrivateFrameworks/IMFoundation.framework/XPCServices/IMRemoteURLConnectionAgent.xpc/Contents/MacOS/IMRemoteURLConnectionAgent
  383 ??         0:00.08 /System/Library/CoreServices/Software Update.app/Contents/Resources/softwareupdate_notify_agent
  387 ??         0:00.64 /System/Library/PrivateFrameworks/CacheDelete.framework/deleted
  411 ??         0:00.10 /usr/libexec/findmydevice-user-agent
  413 ??         0:00.06 /usr/libexec/USBAgent
  437 ??         0:00.05 /System/Library/Frameworks/MediaAccessibility.framework/Versions/A/XPCServices/com.apple.accessibility.mediaaccessibilityd.xpc/Contents/MacOS/com.apple.accessibility.mediaaccessibilityd
  439 ??        10:25.51 /System/Library/CoreServices/Siri.app/Contents/XPCServices/SiriNCService.xpc/Contents/MacOS/SiriNCService
  443 ??         0:16.44 /System/Library/CoreServices/SafariSupport.bundle/Contents/MacOS/SafariBookmarksSyncAgent
  447 ??         0:01.09 /System/Library/PrivateFrameworks/AssetCacheServices.framework/Versions/A/XPCServices/AssetCacheLocatorService.xpc/Contents/MacOS/AssetCacheLocatorService -a
  450 ??         0:12.42 /System/Library/Services/AppleSpell.service/Contents/MacOS/AppleSpell
  452 ??         0:00.30 /usr/libexec/keyboardservicesd
  453 ??         0:02.47 /System/Library/PrivateFrameworks/CoreSuggestions.framework/Versions/A/Support/suggestd
  474 ??         0:06.28 /System/Library/CoreServices/cloudphotosd.app/Contents/MacOS/cloudphotosd
  477 ??         0:00.91 /System/Library/PrivateFrameworks/CloudPhotoServices.framework/Versions/A/Frameworks/CloudPhotosConfigurationXPC.framework/Versions/A/XPCServices/com.apple.CloudPhotosConfiguration.xpc/Contents/MacOS/com.apple.CloudPhotosConfiguration
  479 ??         0:01.28 /System/Library/PrivateFrameworks/PhotoLibraryPrivate.framework/Versions/A/Support/photolibraryd
  480 ??         0:00.32 /System/Library/CoreServices/ScopedBookmarkAgent
  481 ??         0:00.31 /System/Library/PrivateFrameworks/PhotoLibraryPrivate.framework/Versions/A/Frameworks/PhotoLibraryServices.framework/Versions/A/XPCServices/com.apple.photomoments.xpc/Contents/MacOS/com.apple.photomoments
  482 ??         0:02.09 /System/Library/PrivateFrameworks/PhotoAnalysis.framework/Versions/A/Support/photoanalysisd
  483 ??         0:00.08 /System/Library/PrivateFrameworks/PhotoLibrary.framework/Versions/A/XPCServices/com.apple.PhotoIngestService.xpc/Contents/MacOS/com.apple.PhotoIngestService
  486 ??         0:02.71 /System/Library/PrivateFrameworks/AppStoreDaemon.framework/Support/appstoreagent
  488 ??         0:00.17 /System/Library/PrivateFrameworks/CommerceKit.framework/Versions/A/Resources/storedownloadd
  489 ??         0:00.70 /System/Library/PrivateFrameworks/CommerceKit.framework/Versions/A/Resources/storeassetd
  490 ??         0:00.77 /System/Library/Frameworks/ApplicationServices.framework/Frameworks/ATS.framework/Support/atsd
  491 ??         0:02.22 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/corespotlightd
  494 ??       225:27.90 /Applications/Firefox.app/Contents/MacOS/firefox
  495 ??         3:38.68 /Applications/Firefox.app/Contents/MacOS/plugin-container.app/Contents/MacOS/plugin-container -childID 1 -isForBrowser -prefsLen 1 -prefMapSize 224760 -sbStartup -sbAppPath /Applications/Firefox.app -sbLevel 3 -sbAllowAudio -sbAllowWindowServer -parentBuildID 20200720193547 -appdir /Applications/Firefox.app/Contents/Resources/browser -profile /Users/austinkehrer/Library/Application Support/Firefox/Profiles/qf0js5yk.default-release 494 gecko-crash-server-pipe.494 org.mozilla.machname.2101422554 tab
  496 ??        10:19.41 /Applications/Firefox.app/Contents/MacOS/plugin-container.app/Contents/MacOS/plugin-container -childID 2 -isForBrowser -prefsLen 6880 -prefMapSize 224760 -sbStartup -sbAppPath /Applications/Firefox.app -sbLevel 3 -sbAllowAudio -sbAllowWindowServer -parentBuildID 20200720193547 -appdir /Applications/Firefox.app/Contents/Resources/browser -profile /Users/austinkehrer/Library/Application Support/Firefox/Profiles/qf0js5yk.default-release 494 gecko-crash-server-pipe.494 org.mozilla.machname.582691980 tab
  508 ??        11:42.22 /Applications/Firefox.app/Contents/MacOS/plugin-container.app/Contents/MacOS/plugin-container -parentBuildID 20200720193547 -prefsLen 8107 -prefMapSize 224760 -sbStartup -sbAppPath /Applications/Firefox.app -appdir /Applications/Firefox.app/Contents/Resources/browser -profile /Users/austinkehrer/Library/Application Support/Firefox/Profiles/qf0js5yk.default-release 494 gecko-crash-server-pipe.494 org.mozilla.machname.1202880508 rdd
  509 ??         0:10.08 /System/Library/CoreServices/OSDUIHelper.app/Contents/MacOS/OSDUIHelper
  510 ??         0:00.08 /usr/libexec/spindump_agent
  514 ??         2:19.57 /usr/libexec/avconferenced
  548 ??         0:12.28 /System/Library/Frameworks/ApplicationServices.framework/Frameworks/SpeechSynthesis.framework/Resources/com.apple.speech.speechsynthesisd
  549 ??         0:00.18 /usr/libexec/assertiond
  550 ??         0:00.10 /System/Library/PrivateFrameworks/AssistantServices.framework/Versions/A/XPCServices/com.apple.siri.ClientFlow.ClientScripter.xpc/Contents/MacOS/com.apple.siri.ClientFlow.ClientScripter
  553 ??         0:00.02 /System/Library/Frameworks/AudioToolbox.framework/XPCServices/com.apple.audio.SandboxHelper.xpc/Contents/MacOS/com.apple.audio.SandboxHelper
  554 ??         6:47.83 /System/Library/Frameworks/VideoToolbox.framework/Versions/A/XPCServices/VTDecoderXPCService.xpc/Contents/MacOS/VTDecoderXPCService
  555 ??         0:23.78 /System/Library/PrivateFrameworks/AssistantServices.framework/Versions/A/Support/assistant_service
  557 ??         0:00.19 /System/Library/Frameworks/iTunesLibrary.framework/Versions/A/XPCServices/com.apple.iTunesLibraryService.xpc/Contents/MacOS/com.apple.iTunesLibraryService
  558 ??         0:00.14 /usr/libexec/siriknowledged
  559 ??         0:00.13 /System/Library/PrivateFrameworks/FMClient.framework/Versions/A/XPCServices/FMIPClientXPCService.xpc/Contents/MacOS/FMIPClientXPCService
  564 ??         0:02.48 /System/Library/PrivateFrameworks/CoreFollowUp.framework/Versions/A/Support/followupd
  574 ??         0:02.82 /System/Library/Frameworks/Foundation.framework/Versions/C/XPCServices/com.apple.foundation.UserScriptService.xpc/Contents/MacOS/com.apple.foundation.UserScriptService
  580 ??         0:00.31 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mdwrite
  582 ??         0:00.06 /System/Library/Frameworks/ApplicationServices.framework/Frameworks/PrintCore.framework/Versions/A/printtool agent
  609 ??         0:07.55 /usr/libexec/studentd
  611 ??         0:00.06 /System/Library/PrivateFrameworks/CoreCDP.framework/Versions/A/Resources/cdpd
  625 ??         0:00.23 /System/Library/PrivateFrameworks/ClassKit.framework/Versions/A/progressd
